contig	cov_mean_sample_idba_ud_perc100_sorted
contig-100_4.35	10.788
contig-100_4.36	11.729
contig-100_4.37	12.130
contig-100_4.38	12.689
contig-100_4.39	12.316
contig-100_4.40	10.537
contig-100_4.41	11.861
contig-100_4.42	10.856
contig-100_5.0	11.296
contig-100_5.1	10.721
contig-100_5.2	10.487
contig-100_5.3	12.065
contig-100_5.4	12.400
contig-100_5.5	11.657
contig-100_5.6	11.383
contig-100_5.7	13.316
contig-100_5.8	11.880
contig-100_5.9	10.886
contig-100_5.10	11.879
contig-100_5.11	12.204
contig-100_5.12	11.691
contig-100_5.13	11.428
contig-100_5.14	11.614
contig-100_5.15	12.027
contig-100_5.16	11.908
contig-100_5.17	12.081
contig-100_5.18	12.079
contig-100_5.19	11.227
contig-100_5.20	12.725
contig-100_5.21	10.822
contig-100_5.22	12.977
contig-100_5.23	11.103
contig-100_5.24	12.212
contig-100_5.25	12.195
contig-100_5.26	11.109
contig-100_5.27	10.564
contig-100_5.28	12.140
contig-100_5.29	12.674
contig-100_5.30	12.182
contig-100_5.31	13.565
contig-100_5.32	11.289
contig-100_5.33	11.611
contig-100_5.34	11.707
contig-100_5.35	12.196
contig-100_5.36	11.176
contig-100_5.37	12.362
contig-100_5.38	11.788
contig-100_5.39	12.878
contig-100_5.40	11.078
contig-100_5.41	12.267
contig-100_5.42	11.797
contig-100_6.0	15.743
contig-100_6.1	17.067
contig-100_6.2	16.446
contig-100_6.3	16.162
contig-100_6.4	16.401
contig-100_6.5	16.060
contig-100_6.6	16.623
contig-100_6.7	17.511
contig-100_6.8	15.790
contig-100_6.9	16.278
contig-100_6.10	16.167
contig-100_6.11	17.308
contig-100_6.12	15.565
contig-100_6.13	15.034
contig-100_6.14	17.311
contig-100_6.15	17.845
contig-100_6.16	15.597
contig-100_6.17	18.752
contig-100_6.18	17.389
contig-100_6.19	15.732
contig-100_6.20	16.871
contig-100_6.21	16.280
contig-100_6.22	17.274
contig-100_6.23	17.264
contig-100_6.24	16.548
contig-100_6.25	16.704
contig-100_6.26	15.766
contig-100_6.27	17.978
contig-100_6.28	16.116
contig-100_6.29	16.605
contig-100_6.30	15.132
contig-100_6.31	17.152
contig-100_6.32	15.965
contig-100_6.33	15.873
contig-100_6.34	16.768
contig-100_6.35	17.306
contig-100_6.36	17.605
contig-100_6.37	17.904
contig-100_6.38	17.001
contig-100_6.39	16.902
contig-100_6.40	16.397
contig-100_6.41	17.116
contig-100_7.0	16.646
contig-100_7.1	16.354
contig-100_7.2	16.427
contig-100_7.3	18.398
contig-100_7.4	16.734
contig-100_7.5	15.645
contig-100_7.6	16.301
contig-100_7.7	17.871
contig-100_7.8	15.380
contig-100_7.9	16.642
contig-100_7.10	16.289
contig-100_7.11	16.959
contig-100_7.12	16.647
contig-100_7.13	14.561
contig-100_7.14	17.051
contig-100_7.15	16.073
contig-100_7.16	18.042
contig-100_7.17	17.160
contig-100_7.18	16.323
contig-100_7.19	17.609
contig-100_7.20	15.836
contig-100_7.21	16.604
contig-100_7.22	16.054
contig-100_7.23	15.957
contig-100_7.24	17.823
contig-100_7.25	16.109
contig-100_7.26	16.105
contig-100_7.27	17.524
contig-100_7.28	17.642
contig-100_7.29	16.734
contig-100_7.30	15.750
contig-100_7.31	16.061
contig-100_7.32	15.666
contig-100_7.33	18.047
contig-100_7.34	16.449
contig-100_7.35	17.068
contig-100_7.36	18.135
contig-100_7.37	16.309
contig-100_7.38	18.240
contig-100_7.39	15.834
contig-100_8.0	15.971
contig-100_8.1	16.149
contig-100_8.2	16.333
contig-100_8.3	17.338
contig-100_8.4	15.924
contig-100_8.5	16.726
contig-100_8.6	18.164
contig-100_8.7	15.964
contig-100_8.8	18.012
contig-100_8.9	15.079
contig-100_8.10	15.977
contig-100_8.11	15.820
contig-100_8.12	16.465
contig-100_8.13	17.734
contig-100_8.14	16.417
contig-100_8.15	16.910
contig-100_8.16	15.242
contig-100_8.17	16.137
contig-100_8.18	15.051
contig-100_8.19	17.549
contig-100_8.20	15.975
contig-100_8.21	15.636
contig-100_8.22	16.133
contig-100_8.23	16.922
contig-100_8.24	16.025
contig-100_8.25	15.211
contig-100_8.26	16.461
contig-100_8.27	16.634
contig-100_8.28	16.251
contig-100_8.29	17.173
contig-100_8.30	16.641
contig-100_8.31	14.594
contig-100_8.32	17.047
contig-100_8.33	16.553
contig-100_9.0	16.875
contig-100_9.1	16.956
contig-100_9.2	16.817
contig-100_9.3	16.841
contig-100_9.4	14.631
contig-100_9.5	16.998
contig-100_9.6	16.047
contig-100_9.7	16.526
