contig	cov_mean_sample_metaspades_perc100_sorted
NODE_1_length_1422962_cov_22.155827.122	26.421
NODE_1_length_1422962_cov_22.155827.123	28.572
NODE_1_length_1422962_cov_22.155827.124	26.786
NODE_1_length_1422962_cov_22.155827.125	26.341
NODE_1_length_1422962_cov_22.155827.126	26.796
NODE_1_length_1422962_cov_22.155827.127	28.178
NODE_1_length_1422962_cov_22.155827.128	29.065
NODE_1_length_1422962_cov_22.155827.129	29.663
NODE_1_length_1422962_cov_22.155827.130	26.957
NODE_1_length_1422962_cov_22.155827.131	29.212
NODE_1_length_1422962_cov_22.155827.132	29.866
NODE_1_length_1422962_cov_22.155827.133	27.643
NODE_1_length_1422962_cov_22.155827.134	26.219
NODE_1_length_1422962_cov_22.155827.135	26.344
NODE_1_length_1422962_cov_22.155827.136	28.903
NODE_1_length_1422962_cov_22.155827.137	28.776
NODE_1_length_1422962_cov_22.155827.138	28.438
NODE_1_length_1422962_cov_22.155827.139	27.395
NODE_1_length_1422962_cov_22.155827.140	31.284
NODE_1_length_1422962_cov_22.155827.141	28.022
NODE_2_length_1182245_cov_12.544720.0	16.767
NODE_2_length_1182245_cov_12.544720.1	17.246
NODE_2_length_1182245_cov_12.544720.2	16.314
NODE_2_length_1182245_cov_12.544720.3	17.213
NODE_2_length_1182245_cov_12.544720.4	17.531
NODE_2_length_1182245_cov_12.544720.5	16.307
NODE_2_length_1182245_cov_12.544720.6	16.032
NODE_2_length_1182245_cov_12.544720.7	17.345
NODE_2_length_1182245_cov_12.544720.8	15.593
NODE_2_length_1182245_cov_12.544720.9	18.478
NODE_2_length_1182245_cov_12.544720.10	17.650
NODE_2_length_1182245_cov_12.544720.11	15.280
NODE_2_length_1182245_cov_12.544720.12	15.832
NODE_2_length_1182245_cov_12.544720.13	18.053
NODE_2_length_1182245_cov_12.544720.14	17.732
NODE_2_length_1182245_cov_12.544720.15	15.078
NODE_2_length_1182245_cov_12.544720.16	16.970
NODE_2_length_1182245_cov_12.544720.17	15.607
NODE_2_length_1182245_cov_12.544720.18	16.570
NODE_2_length_1182245_cov_12.544720.19	16.011
NODE_2_length_1182245_cov_12.544720.20	15.999
NODE_2_length_1182245_cov_12.544720.21	17.201
NODE_2_length_1182245_cov_12.544720.22	15.979
NODE_2_length_1182245_cov_12.544720.23	17.676
